"year" "FtoFmsy" "time1" "time2" "MSY" "BtoBmsy" "SBtoSBmsy"
"1" 1972 0.0228154232261008 156 152 136100 3.695 4.076
"2" 1973 0.0261301280376274 152 148 106000 3.917 4.236
"3" 1974 0.0267665952890792 148 144 117000 4.172 4.566
"4" 1975 0.0279329608938548 144 140 119400 4.357 4.709
"5" 1976 0.0261643118785976 140 136 114200 4.665 5.168
"6" 1977 0.0307597662257767 136 132 128600 4.73 5.487
"7" 1978 0.0363768643142961 132 128 120000 4.474 5.173
"8" 1979 0.0460617227084293 128 124 107300 4.302 5
"9" 1980 0.032258064516129 124 120 126300 3.92 4.431
"10" 1981 0.0368459837877671 120 116 117200 3.768 4.14
"11" 1982 0.0391696043869957 116 112 129500 3.825 4.241
"12" 1983 0.0408329930583912 112 108 119200 3.875 4.243
"13" 1984 0.0638569604086845 108 104 115900 3.915 4.309
"14" 1985 0.0774593338497289 104 100 112900 3.982 4.375
"15" 1986 0.0884173297966401 100 96 116500 4.013 4.467
"16" 1987 0.105440742302826 96 92 115400 3.971 4.423
"17" 1988 0.128998968008256 92 88 124500 3.774 4.244
"18" 1989 0.143163922691482 88 84 124400 3.566 4.011
"19" 1990 0.160694198939418 84 80 126700 3.383 3.875
"20" 1991 0.187687687687688 80 76 112900 3.168 3.562
"21" 1992 0.249438762783737 76 72 121900 2.99 3.338
"22" 1993 0.309789343246592 72 68 133800 2.931 3.379
"23" 1994 0.335345405767941 68 64 118500 2.638 2.952
"24" 1995 0.394166338194718 64 60 105400 2.474 2.717
"25" 1996 0.38550501156515 60 56 112100 2.356 2.615
"26" 1997 0.417188151856487 56 52 107300 2.226 2.404
"27" 1998 0.401929260450161 52 48 105300 2.155 2.277
"28" 1999 0.454132606721163 48 44 101700 2.19 2.326
"29" 2000 0.396982929734021 44 40 109500 2.174 2.34
"30" 2001 0.369276218611521 40 36 113200 2.171 2.367
"31" 2002 0.374531835205993 36 32 120200 2.145 2.306
"32" 2003 0.470809792843691 32 28 122400 2.1 2.25
"33" 2004 0.500751126690035 28 24 130100 2.07 2.298
"34" 2005 0.526038926880589 24 20 124700 1.926 2.167
"35" 2006 0.571755288736421 20 16 114900 1.712 1.934
"36" 2007 0.644329896907216 16 12 95210 1.55 1.746
"37" 2008 0.755857898715042 12 8 98630 1.355 1.499
"38" 2009 0.730994152046784 8 4 94780 1.216 1.273
"39" 2010 0.738007380073801 4 0 96680 1.169 1.182
